id,name,desc,type,q
Andreas-Andersson_20,Andreas Andersson,"Claes Andreas Andersson (born 1974-04-10) attacker in IFK Göteborg, last season 1997",Q5,Q495810
Arne-Andersson_21,Arne Andersson,IFK Göteborg player stated in ifkdb.se,Q5,
Arnold-Andersson_22,Arnold Andersson,Gustaf Arnold Andersson (born 1916-02-29) IFK Göteborg player stated in ifkdb.se,Q5,
Arthur-Andersson_23,Arthur Andersson,Arthur Erland Eugen Andersson (born 1888-01-07) IFK Göteborg player stated in ifkdb.se,Q5,Q121052852
Bengt-Andersson_24,Bengt Andersson,"Bengt Evert Andersson (born 1966-08-11) goalkeeper in IFK Göteborg, last season 2007",Q5,Q197510
Bo-Andersson_25,Bo Andersson,Bo Erland Andersson (born 1955-08-31) IFK Göteborg player stated in ifkdb.se,Q5,Q121143382
Carl-Fredrik-Andersson_27,Carl-Fredrik Andersson,Carl Fredrik Andersson IFK Göteborg player stated in ifkdb.se,Q5,Q121075841
Clas-Andersson_41,Clas Andersson,Clas Erik Valdemar Andersson (born 1892-08-20) IFK Göteborg player stated in ifkdb.se,Q5,
David-Andersson_28,David Andersson,David Natanael Andersson (born 1891-06-18) IFK Göteborg player stated in ifkdb.se,Q5,Q121143384
Dick-Andersson_29,Dick Andersson,Dick Georg Andersson (born 1943-11-13) IFK Göteborg player stated in ifkdb.se,Q5,Q121143385
Einar-Andersson_30,Einar Andersson,Harry Frans Einar Andersson (born 1885-10-21) IFK Göteborg player stated in ifkdb.se,Q5,Q121075908
Erik-Andersson_31,Erik Andersson,Erik Valdemar Andersson (born 1898-01-01) IFK Göteborg player stated in ifkdb.se,Q5,Q121143387
Ernst-Andersson_32,Ernst Andersson,Ernst Andersson (born 1909-03-26) IFK Göteborg player stated in ifkdb.se,Q5,Q1357372
Evald-Andersson_33,Evald Andersson,Sven Evald Andersson (born 1913-03-08) IFK Göteborg player stated in ifkdb.se,Q5,Q121143388
Fredrik-Andersson_34,Fredrik Andersson,"Fredrik Andersson (born 1981-05-28) goalkeeper in IFK Göteborg, last season 2000",Q5,
Georg-Andersson_35,Georg Andersson,"Nils Torsten Georg Andersson (born 1945-12-13) midfielder in IFK Göteborg, last season 1975",Q5,
Gösta-Andersson_39,Gösta Andersson,Gösta Torvald Andersson (born 1907-03-18) IFK Göteborg player stated in ifkdb.se,Q5,Q121143392
Göte-Andersson_40,Göte Andersson,Hjalmar Göte Runar Andersson (born 1919-01-21) IFK Göteborg player stated in ifkdb.se,Q5,Q121160713
Gunnar-Andersson_37,Gunnar Andersson,Karl Gunnar Andersson (born 1928-08-14) IFK Göteborg player stated in ifkdb.se,Q5,Q1389203
Gustaf-Andersson_38,Gustaf Andersson,"Jan Gustaf Andersson (born 1974-12-06) attacker in IFK Göteborg, last season 2002",Q5,Q680811
Helge-Andersson_42,Helge Andersson,Alfred Helge Julius Andersson (born 1899-06-15) IFK Göteborg player stated in ifkdb.se,Q5,Q121160714
Henry-Andersson_44,Henry Andersson,Henry Reinhold Andersson (born 1924-10-28) IFK Göteborg player stated in ifkdb.se,Q5,Q5554786
Ivar-Andersson_45,Ivar Andersson,IFK Göteborg player stated in ifkdb.se,Q5,
John-Andersson_912,John Andersson,IFK Göteborg player stated in ifkdb.se,Q5,
John-Andersson_46,John Andersson,John Arvid Andersson (born 1902-05-29) IFK Göteborg player stated in ifkdb.se,Q5,
John-Andersson_47,John Andersson,John Hilmer Andersson (born 1914-08-21) IFK Göteborg player stated in ifkdb.se,Q5,Q121160715
Karl-Andersson_952,Karl Andersson,Karl W. Andersson IFK Göteborg player stated in ifkdb.se,Q5,
Karl-Andersson_48,Karl Andersson,Karl Andreas Andersson (born 1896-02-27) IFK Göteborg player stated in ifkdb.se,Q5,
Kennet-Andersson_49,Kennet Andersson,"Bernt Kennet Andersson (born 1967-10-06) attacker in IFK Göteborg, last season 1991",Q5,Q352241
Kent-Andersson_50,Kent Andersson,"Kent Åke Andersson (born 1950-01-11) IFK Göteborg player, last season 1974",Q5,
Kevin-Andersson_898,Kevin Andersson,"Kevin David Andersson (born 1996-11-18) defender in IFK Göteborg, last season 2015",Q5,
Lars-Andersson_51,Lars Andersson,"Stig Lars Hevi Andersson (born 1932-02-04) goalkeeper in IFK Göteborg, last season 1959",Q5,
Leif-Andersson_52,Leif Andersson,"Leif Arne Andersson (born 1952-02-20) attacker in IFK Göteborg, last season 1974",Q5,Q5555306
Lennart-Andersson_53,Lennart Andersson,Stig Lennart Andersson (born 1931-07-19) IFK Göteborg player stated in ifkdb.se,Q5,Q125253032
Lennart-Andersson_54,Lennart Andersson,Lennart Gustav Andersson (born 1932-11-05) IFK Göteborg player stated in ifkdb.se,Q5,Q125253044
Lindoff-Andersson_55,Lindoff Andersson,Lindoff Andersson (born 1887-04-04) IFK Göteborg player stated in ifkdb.se,Q5,Q121075864
Michael-Andersson_56,Michael Andersson,"Michael Östen Andersson (born 1959-08-24) midfielder in IFK Göteborg, last season 1988",Q5,Q264926
Mikael-Andersson_750,Mikael Andersson,"Erik Mikael Andersson (born 1990-05-09) defender in IFK Göteborg, last season 2009",Q5,
Nils-Andersson_57,Nils Andersson,Nils Adolf Andersson (born 1887-03-10) IFK Göteborg player stated in ifkdb.se,Q5,Q1992244
Oscar-Andersson_58,Oscar Andersson,"Johan Oscar Andersson (born 1976-02-21) IFK Göteborg player, last season 1995",Q5,
Otto-Andersson_59,Otto Andersson,Otto August Andersson (born 1910-05-07) IFK Göteborg player stated in ifkdb.se,Q5,Q965710
Patric-Andersson_60,Patric Andersson,"Göran Patric Andersson (born 1979-04-01) attacker in IFK Göteborg, last season 2004",Q5,Q5555731
Peter-Andersson_61,Peter Andersson,"Bengt Peter Göran Andersson (born 1962-10-11) midfielder in IFK Göteborg, last season 1985",Q5,
Raymond-Andersson_62,Raymond Andersson,"Kent Raymond Andersson (born 1950-05-20) defender in IFK Göteborg, last season 1975",Q5,
Robert-Andersson_63,Robert Andersson,"Per Robert Andersson (born 1971-08-22) attacker in IFK Göteborg, last season 1998",Q5,Q5555906
Roger-Andersson_64,Roger Andersson,IFK Göteborg player stated in ifkdb.se,Q5,
Rolf-Andersson_924,Rolf Andersson,IFK Göteborg player stated in ifkdb.se,Q5,
Stefan-Andersson_67,Stefan Andersson,"Erik Stefan Andersson (born 1951-01-18) midfielder in IFK Göteborg, last season 1975",Q5,
Stellan-Andersson_68,Stellan Andersson,Stellan Teodor Andersson (born 1902-10-25) IFK Göteborg player stated in ifkdb.se,Q5,
Sven-Andersson_69,Sven Andersson,Sven Erland Andersson (born 1928-05-28) IFK Göteborg player stated in ifkdb.se,Q5,Q131329219
Tage-Andersson_70,Tage Andersson,Tage Elof Andersson (born 1926-06-11) IFK Göteborg player stated in ifkdb.se,Q5,
Teodor-Andersson_71,Teodor Andersson,Anders Teodor Andersson (born 1889-12-01) IFK Göteborg player stated in ifkdb.se,Q5,Q15850615
Thomas-Andersson_73,Thomas Andersson,"Leif Thomas Andersson (born 1973-03-05) midfielder in IFK Göteborg, last season 1993",Q5,Q132644350
Verner-Andersson_74,Verner Andersson,Verner Reinhold Andersson (born 1904-06-03) IFK Göteborg player stated in ifkdb.se,Q5,Q125252994
Viktor-Andersson_1012,Viktor Andersson,Johan Viktor Andersson (born 2004-03-30) IFK Göteborg player stated in ifkdb.se,Q5,Q125301644
Conny-Andreasson_76,Conny Andreasson,Conny Lars Andreasson (born 1927-08-14) IFK Göteborg player stated in ifkdb.se,Q5,
Kenny-Andrén_77,Kenny Andrén,"Leif Kenny Andrén (born 1952-01-09) IFK Göteborg player, last season 1971",Q5,
Johan-Anegrund_78,Johan Anegrund,"Johan Ove Anegrund (born 1973-03-01) defender in IFK Göteborg, last season 1999",Q5,Q3180374
Giannis-Anestis_899,Giannis Anestis,"Ioannis Anestis (born 1991-03-09) goalkeeper in IFK Göteborg, last season 2021",Q5,Q16233813
Jakob-Ankersen_858,Jakob Ankersen,"Jakob Svarrer Ankersen (born 1990-09-22) IFK Göteborg player, last season 2016",Q5,Q6125232
Henry-Antfors+(Andersson)_43,Henry Antfors,Erik Henry Antfors (born 1909-05-18) IFK Göteborg player stated in ifkdb.se,Q5,Q116810763
Mikael-Antonsson_79,Mikael Antonsson,"Hans Mikael Antonsson (born 1981-05-31) midfielder in IFK Göteborg, last season 2004",Q5,Q361403
Arne-Appelgren_80,Arne Appelgren,Arne Gunnar Appelgren (born 1922-03-24) IFK Göteborg player stated in ifkdb.se,Q5,
Joel-Appelgren_81,Joel Appelgren,Joel Benjamin Appelgren (born 1893-07-02) IFK Göteborg player stated in ifkdb.se,Q5,
Sven-Appelgren_82,Sven Appelgren,Sven Valdemar Appelgren (born 1927-09-08) IFK Göteborg player stated in ifkdb.se,Q5,Q132183452
Gunnar-Arcadius_83,Gunnar Arcadius,Gunnar Lambert Arcadius (born 1891-12-24) IFK Göteborg player stated in ifkdb.se,Q5,Q121160717
Lars-Erik-Arvelin_84,Lars-Erik Arvelin,Lars Erik Arvelin (born 1945-03-23) IFK Göteborg player stated in ifkdb.se,Q5,Q138557317
Nicklas-Asp_752,Nicklas Asp,"Jan Nicklas Asp (born 1986-01-10) attacker in IFK Göteborg, last season 2005",Q5,
Vilgot-Aspengren_85,Vilgot Aspengren,IFK Göteborg player stated in ifkdb.se,Q5,
William-Atashkadeh_753,William Atashkadeh,"William Philip Siros Atashkadeh (born 1992-04-12) attacker in IFK Göteborg, last season 2010",Q5,Q5561849
Bernt-Attemalm_86,Bernt Attemalm,"Bernt Villy Attemalm (born 1937-04-28) IFK Göteborg player, last season 1960",Q5,Q126454016
Ludwig-Augustinsson_754,Ludwig Augustinsson,"Hans Carl Ludwig Augustinsson (born 1994-05-21) IFK Göteborg player, last season 2014",Q5,Q4806248
Kenth-Augustsson_87,Kenth Augustsson,"Kenth Arvid Augustsson (born 1946-12-29) midfielder in IFK Göteborg, last season 1973",Q5,
Torsten-Augustsson_88,Torsten Augustsson,Anders Harald Torsten Augustsson (born 1901-02-18) IFK Göteborg player stated in ifkdb.se,Q5,Q121160718
