id,name,desc,type,url,wikidata
34,"Kaddoura, Amr","Swedish association football player, played for BoIS, born 1994-07-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=34&link=visa-data,
706,"Karim, Sadat","Swedish association football player, played for BoIS, born 1991-10-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=706&link=visa-data,
39,"Karlsson, Anders","Swedish association football player, played for BoIS, born 1963-04-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=39&link=visa-data,
60,"Karlsson, Arthur ""Atte""","Swedish association football player, played for BoIS, born 1914-06-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=60&link=visa-data,
3480,"Karlsson, Conny","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3480&link=visa-data,
174,"Karlsson, Edvin","Swedish association football player, played for BoIS, born 1896-12-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=174&link=visa-data,
191,"Karlsson, Erik","Swedish association football player, played for BoIS, born 1931-05-10",Q5,https://boishistoria.se/visa-data/?what=spelare&id=191&link=visa-data,
223,"Karlsson, Fredrik","Swedish association football player, played for BoIS, born 1986-05-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=223&link=visa-data,
234,"Karlsson, Gert","Swedish association football player, played for BoIS, born 1947-02-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=234&link=visa-data,
343,"Karlsson, John","Swedish association football player, played for BoIS, born 1933-04-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=343&link=visa-data,
390,"Karlsson, John","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=390&link=visa-data,
449,"Karlsson, Kurt ""Kuta""","Swedish association football player, played for BoIS, born 1922-09-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=449&link=visa-data,
463,"Karlsson, Lars","Swedish association football player, played for BoIS, born 1948-10-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=463&link=visa-data,
649,"Karlsson, Peter","Swedish association football player, played for BoIS, born 1985-09-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=649&link=visa-data,
685,"Karlsson, Roger","Swedish association football player, played for BoIS, born 1945-04-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=685&link=visa-data,
703,"Karlsson, Rune","Swedish association football player, played for BoIS, born 1928-09-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=703&link=visa-data,
710,"Karlsson, Sebastian","Swedish association football player, played for BoIS, born 1982-04-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=710&link=visa-data,
720,"Karlsson, Sonny","Swedish association football player, played for BoIS, born 1988-06-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=720&link=visa-data,
729,"Karlsson, Stefan","Swedish association football player, played for BoIS, born 1956-12-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=729&link=visa-data,
