id,name,desc,type,q
Georg-Andersson_35,Georg Andersson,"mittfältare i IFK Göteborg, sista säsong 1975",Q5,
Gösta-Andersson_39,Gösta Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121143392
Göte-Andersson_40,Göte Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160713
Gunnar-Andersson_37,Gunnar Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q1389203
Gustaf-Andersson_38,Gustaf Andersson,"anfallare i IFK Göteborg, sista säsong 2002",Q5,Q680811
Helge-Andersson_42,Helge Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160714
Henry-Andersson_44,Henry Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q5554786
Ivar-Andersson_45,Ivar Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
John-Andersson_912,John Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
John-Andersson_46,John Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
John-Andersson_47,John Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160715
Karl-Andersson_952,Karl Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Karl-Andersson_48,Karl Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Kennet-Andersson_49,Kennet Andersson,"anfallare i IFK Göteborg, sista säsong 1991",Q5,Q352241
Kent-Andersson_50,Kent Andersson,"IFK Göteborg-spelare, sista säsong 1974",Q5,
Kevin-Andersson_898,Kevin Andersson,"försvarare i IFK Göteborg, sista säsong 2015",Q5,
Lars-Andersson_51,Lars Andersson,"målvakt i IFK Göteborg, sista säsong 1959",Q5,
Leif-Andersson_52,Leif Andersson,"anfallare i IFK Göteborg, sista säsong 1974",Q5,Q5555306
Lennart-Andersson_53,Lennart Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q125253032
Lennart-Andersson_54,Lennart Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q125253044
Lindoff-Andersson_55,Lindoff Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121075864
Michael-Andersson_56,Michael Andersson,"mittfältare i IFK Göteborg, sista säsong 1988",Q5,Q264926
Mikael-Andersson_750,Mikael Andersson,"försvarare i IFK Göteborg, sista säsong 2009",Q5,
Nils-Andersson_57,Nils Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q1992244
Oscar-Andersson_58,Oscar Andersson,"IFK Göteborg-spelare, sista säsong 1995",Q5,
Otto-Andersson_59,Otto Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q965710
Patric-Andersson_60,Patric Andersson,"anfallare i IFK Göteborg, sista säsong 2004",Q5,Q5555731
Peter-Andersson_61,Peter Andersson,"mittfältare i IFK Göteborg, sista säsong 1985",Q5,
Raymond-Andersson_62,Raymond Andersson,"försvarare i IFK Göteborg, sista säsong 1975",Q5,
Robert-Andersson_63,Robert Andersson,"anfallare i IFK Göteborg, sista säsong 1998",Q5,Q5555906
Roger-Andersson_64,Roger Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Rolf-Andersson_924,Rolf Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Stefan-Andersson_67,Stefan Andersson,"mittfältare i IFK Göteborg, sista säsong 1975",Q5,
Stellan-Andersson_68,Stellan Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Sven-Andersson_69,Sven Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q131329219
Tage-Andersson_70,Tage Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Teodor-Andersson_71,Teodor Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q15850615
Thomas-Andersson_73,Thomas Andersson,"mittfältare i IFK Göteborg, sista säsong 1993",Q5,Q132644350
Verner-Andersson_74,Verner Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q125252994
Viktor-Andersson_1012,Viktor Andersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q125301644
Conny-Andreasson_76,Conny Andreasson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Kenny-Andrén_77,Kenny Andrén,"IFK Göteborg-spelare, sista säsong 1971",Q5,
Johan-Anegrund_78,Johan Anegrund,"försvarare i IFK Göteborg, sista säsong 1999",Q5,Q3180374
Giannis-Anestis_899,Giannis Anestis,"målvakt i IFK Göteborg, sista säsong 2021",Q5,Q16233813
Jakob-Ankersen_858,Jakob Ankersen,"IFK Göteborg-spelare, sista säsong 2016",Q5,Q6125232
Henry-Antfors+(Andersson)_43,Henry Antfors,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q116810763
Mikael-Antonsson_79,Mikael Antonsson,"mittfältare i IFK Göteborg, sista säsong 2004",Q5,Q361403
Arne-Appelgren_80,Arne Appelgren,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Joel-Appelgren_81,Joel Appelgren,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Sven-Appelgren_82,Sven Appelgren,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q132183452
Gunnar-Arcadius_83,Gunnar Arcadius,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160717
Lars-Erik-Arvelin_84,Lars-Erik Arvelin,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q138557317
Nicklas-Asp_752,Nicklas Asp,"anfallare i IFK Göteborg, sista säsong 2005",Q5,
Vilgot-Aspengren_85,Vilgot Aspengren,IFK Göteborg-spelare enligt ifkdb.se,Q5,
William-Atashkadeh_753,William Atashkadeh,"anfallare i IFK Göteborg, sista säsong 2010",Q5,Q5561849
Bernt-Attemalm_86,Bernt Attemalm,"IFK Göteborg-spelare, sista säsong 1960",Q5,Q126454016
Ludwig-Augustinsson_754,Ludwig Augustinsson,"IFK Göteborg-spelare, sista säsong 2014",Q5,Q4806248
Kenth-Augustsson_87,Kenth Augustsson,"mittfältare i IFK Göteborg, sista säsong 1973",Q5,
Torsten-Augustsson_88,Torsten Augustsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160718
Jonathan-Azulay_755,Jonathan Azulay,"IFK Göteborg-spelare, sista säsong 2014",Q5,Q4125064
Nikolai-Baden_993,Nikolai Baden,"anfallare i IFK Göteborg, sista säsong 2024",Q5,Q43801944
Jonas-Bager_988,Jonas Bager,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q23772459
Ulf-Bång+(Johansson)_356,Ulf Bång,"mittfältare i IFK Göteborg, sista säsong 1991",Q5,Q132442714
Johan-Bångsbo_944,Johan Bångsbo,"IFK Göteborg-spelare, sista säsong 2024",Q5,Q112036884
Nicklas-Bärkroth_765,Nicklas Bärkroth,"anfallare i IFK Göteborg, sista säsong 2012",Q5,Q940818
Stefan-Bärlin_135,Stefan Bärlin,"mittfältare i IFK Göteborg, sista säsong 1999",Q5,Q505895
Elis-Barlind_983,Elis Barlind,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Junes-Barny_902,Junes Barny,"mittfältare i IFK Göteborg, sista säsong 2019",Q5,Q16945082
Lee-Baxter_756,Lee Baxter,"målvakt i IFK Göteborg, sista säsong 2004",Q5,Q128845
Jan-Bender_90,Jan Bender,"försvarare i IFK Göteborg, sista säsong 1972",Q5,
Adam+Ingi-Benediktsson_937,Adam Ingi Benediktsson,"målvakt i IFK Göteborg, sista säsong 2024",Q5,Q109819079
Åke-Bengtsson_95,Åke Bengtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q138548544
Algot-Bengtsson_91,Algot Bengtsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160719
