url,name
https://goteborgsalliansen.se/spelare/Stig-Bj%C3%B6rkman_210,Stig Björkman														(1924-1984)
https://goteborgsalliansen.se/spelare/Rolf-Blomqvist_327,Rolf Blomqvist
https://goteborgsalliansen.se/spelare/Thomas-Bloom_318,Thomas Bloom
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Bohman_136,Gösta Bohman														(1911-1993)
https://goteborgsalliansen.se/spelare/Bo-B%C3%B6rjesson_330,Bo Börjesson
https://goteborgsalliansen.se/spelare/Erik-B%C3%B6rjesson_44,Erik Börjesson														(1886-1983)
https://goteborgsalliansen.se/spelare/Helge-B%C3%B6rjesson_275,Helge Börjesson														(1931-2014)
https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,Reino Börjesson														(1929-2023)
https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,Reino Börjesson														(1929-2023)
https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,Rune Börjesson														(1937-1996)
https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,Rune Börjesson														(1937-1996)
https://goteborgsalliansen.se/spelare/S%C3%B6ren-B%C3%B6rjesson_339,Sören Börjesson														(1956-2024)
https://goteborgsalliansen.se/spelare/Yngve-Brodd_267,Yngve Brodd														(1930-2016)
https://goteborgsalliansen.se/spelare/Bror-Carlsson_41,Bror Carlsson														(1897-1986)
https://goteborgsalliansen.se/spelare/Gottfrid-Carlsson_79,Gottfrid Carlsson														(1909-1994)
https://goteborgsalliansen.se/spelare/Kjell-%C3%85ke-Carlsson_309,Kjell-Åke Carlsson
https://goteborgsalliansen.se/spelare/Viktor-Carlund_93,Viktor Carlund														(1906-1985)
https://goteborgsalliansen.se/spelare/Lars-Cato_245,Lars Cato														(1925-2011)
https://goteborgsalliansen.se/spelare/Rolf-Christensson_131,Rolf Christensson														(1912-1990)
https://goteborgsalliansen.se/spelare/Leif-Claesson_300,Leif Claesson														(1940-2021)
https://goteborgsalliansen.se/spelare/Ingemar-Clarin_213,Ingemar Clarin														(1927-2016)
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Clark_11,Gösta Clark														(1895-1976)
https://goteborgsalliansen.se/spelare/Dan-Corneliusson_350,Dan Corneliusson
https://goteborgsalliansen.se/spelare/Lasse-Dahlenborg_37,Lasse Dahlenborg														(1895-1987)
https://goteborgsalliansen.se/spelare/Peter-Dahlqvist_348,Peter Dahlqvist
https://goteborgsalliansen.se/spelare/Erik-Eiserman_26,Erik Eiserman														(1892-1937)
https://goteborgsalliansen.se/spelare/Nils-Ekeroth_223,Nils Ekeroth														(1930-2021)
https://goteborgsalliansen.se/spelare/Rolf-Ekl%C3%B6f_266,Rolf Eklöf														(1938-1997)
https://goteborgsalliansen.se/spelare/H%C3%A5kan-Eklund_306,Håkan Eklund														(1941-1995)
https://goteborgsalliansen.se/spelare/Dan-Ekner_202,Dan Ekner														(1927-1975)
https://goteborgsalliansen.se/spelare/Erland-Ekstr%C3%B6m_186,Erland Ekström														(1918-1981)
https://goteborgsalliansen.se/spelare/Karl-Erik-Eliasson_133,Karl-Erik Eliasson														(1916-1996)
