id,name,desc
Carl-Fredrik-Andersson_27,ANDERSSON Carl-Fredrik,Spelare i IFK Göteborg (ifkdb.se ID Carl-Fredrik-Andersson_27)
Clas-Andersson_41,ANDERSSON Clas,Spelare i IFK Göteborg (ifkdb.se ID Clas-Andersson_41)
David-Andersson_28,ANDERSSON David,Spelare i IFK Göteborg (ifkdb.se ID David-Andersson_28)
Dick-Andersson_29,ANDERSSON Dick,Spelare i IFK Göteborg (ifkdb.se ID Dick-Andersson_29)
Einar-Andersson_30,ANDERSSON Einar,Spelare i IFK Göteborg (ifkdb.se ID Einar-Andersson_30)
Erik-Andersson_31,ANDERSSON Erik,Spelare i IFK Göteborg (ifkdb.se ID Erik-Andersson_31)
Ernst-Andersson_32,ANDERSSON Ernst,Spelare i IFK Göteborg (ifkdb.se ID Ernst-Andersson_32)
Evald-Andersson_33,ANDERSSON Evald,Spelare i IFK Göteborg (ifkdb.se ID Evald-Andersson_33)
Fredrik-Andersson_34,ANDERSSON Fredrik,Spelare i IFK Göteborg (ifkdb.se ID Fredrik-Andersson_34)
Georg-Andersson_35,ANDERSSON Georg,Spelare i IFK Göteborg (ifkdb.se ID Georg-Andersson_35)
G%C3%B6sta-Andersson_39,ANDERSSON Gösta,Spelare i IFK Göteborg (ifkdb.se ID G%C3%B6sta-Andersson_39)
G%C3%B6te-Andersson_40,ANDERSSON Göte,Spelare i IFK Göteborg (ifkdb.se ID G%C3%B6te-Andersson_40)
Gunnar-Andersson_37,ANDERSSON Gunnar,Spelare i IFK Göteborg (ifkdb.se ID Gunnar-Andersson_37)
Gustaf-Andersson_38,ANDERSSON Gustaf,Spelare i IFK Göteborg (ifkdb.se ID Gustaf-Andersson_38)
Helge-Andersson_42,ANDERSSON Helge,Spelare i IFK Göteborg (ifkdb.se ID Helge-Andersson_42)
Henry-Andersson_44,ANDERSSON Henry,Spelare i IFK Göteborg (ifkdb.se ID Henry-Andersson_44)
Ivar-Andersson_45,ANDERSSON Ivar,Spelare i IFK Göteborg (ifkdb.se ID Ivar-Andersson_45)
John-Andersson_912,ANDERSSON John,Spelare i IFK Göteborg (ifkdb.se ID John-Andersson_912)
John-Andersson_46,ANDERSSON John,Spelare i IFK Göteborg (ifkdb.se ID John-Andersson_46)
John-Andersson_47,ANDERSSON John,Spelare i IFK Göteborg (ifkdb.se ID John-Andersson_47)
Karl-Andersson_952,ANDERSSON Karl,Spelare i IFK Göteborg (ifkdb.se ID Karl-Andersson_952)
Karl-Andersson_48,ANDERSSON Karl,Spelare i IFK Göteborg (ifkdb.se ID Karl-Andersson_48)
Kennet-Andersson_49,ANDERSSON Kennet,Spelare i IFK Göteborg (ifkdb.se ID Kennet-Andersson_49)
Kent-Andersson_50,ANDERSSON Kent,Spelare i IFK Göteborg (ifkdb.se ID Kent-Andersson_50)
Kevin-Andersson_898,ANDERSSON Kevin,Spelare i IFK Göteborg (ifkdb.se ID Kevin-Andersson_898)
Lars-Andersson_51,ANDERSSON Lars,Spelare i IFK Göteborg (ifkdb.se ID Lars-Andersson_51)
