id	name	description
1517	Ruben "Massa" Gelbord	, aktiv ? - ?, matcher 
1463	Rui Modesto	Back, aktiv 2022- ?, matcher 23
219	Rune Bergström	Högerytter, aktiv 1914-1926, matcher 108
378	Rune "Punne" Carlsson	Högerytter, aktiv 1949-1953, matcher 16
372	Rune Larsson	Högerinner, aktiv 1948-1952, matcher 44
771	Saihou "CH" Jagne	Forward, aktiv 2007-2010, matcher 74
1245	Saku Ylätupa	Mittfältare, aktiv 2019-2022, matcher 54
1098	Sam Lundholm	Mittfältare, aktiv 2012-2015, matcher 65
84	Samuel Ayorinde	Forward, aktiv 2002-2003, matcher 21
1229	Samuel Brolin	Målvakt, aktiv 2015-2018, matcher 3
1317	Samuel Dahl	Back, aktiv 2020-2022, matcher 7
204	Sanny Åslund	Forward, aktiv 1973-2004, matcher 138
1187	Sauli Väisänen	, aktiv 2014-2017, matcher 68
911	Sebastián Eguren	Mittfältare, aktiv 2010-2010, matcher 9
1207	Sebastian Larsson	Mittfältare, aktiv 2018-2022, matcher 178
659	Sharbel Touma	Forward, aktiv 2000-2001, matcher 43
1224	Simon Thern	Mittfältare, aktiv 2017-2017, matcher 22
792	Sotirios "Sotte" Papagiannopoulos	Back, aktiv 1999-2011, matcher 120
564	Staffan "Isak" Isaksson	Mittfältare, aktiv 1979-1981, matcher 35
63	Stefan "Ishi" Ishizaki	Mittfältare, aktiv 1999-2017, matcher 239
616	Stefan Jonsson	Mittfältare, aktiv 1991-1992, matcher 1
545	Stefan Lundin	Högerytter, aktiv 1976-1976, matcher 17
1215	Stefan Silva	Forward, aktiv 2018-2021, matcher 61
235	Sten Mellgren	Högerback, aktiv 1924-1926, matcher 4
626	Stephan "Storken" Johansson	Forward, aktiv 1991-1996, matcher 8
327	Stig "Stickan" Östberg	Högerytter, aktiv 1942-1950, matcher 80
1351	Stipe Vrdoljak	Vänsterback, aktiv 2017-2017, matcher 6
1246	Sulejman Krpić	Forward, aktiv 2017-2017, matcher 6
360	Sune "Mona-Lisa" Andersson	Högerhalv, aktiv 1946-1950, matcher 92
309	Svante Granlund	Högerytter, aktiv 1939-1951, matcher 25
90	Svante Samuelsson	Mittfältare, aktiv 2002-2003, matcher 50
255	Sven "Svenne, Vrålis" Andersson	Högerback, aktiv 1928-1941, matcher 251
757	Sven "Svenne Berka" Bergqvist	, aktiv 1936-1936, matcher 2
543	Sven "Dala" Dahlkvist	Innerback, aktiv 1974-1987, matcher 356
399	Sven-Erik Westerberg	Vänsterinner, aktiv 1952-1955, matcher 34
218	Sven "Linkan" Lindqvist	Högerhalv, aktiv 1920-1931, matcher 155
386	Sven "Sventa, Ekerö-Olle, Svenne" Olsson	Vänsterinner, aktiv 1948-1952, matcher 2
287	Sven "Tomten" Söderström	, aktiv ? - ?, matcher 60
262	Tage Wissnell	Högerback, aktiv 1930-1933, matcher 10
1439	Taha Ayari	Mittfältare, aktiv 2012-2022, matcher 27
1211	Tarik Elyounoussi	Mittfältare, aktiv 2018-2020, matcher 79
187	Teddy Lučić	Back, aktiv 2000-2002, matcher 88
974	Theodor "Todde" Malm	Back, aktiv 1904-1921, matcher 96
194	Thomas Andersson	Forward, aktiv 1984-1987, matcher 82
575	Thomas Bergman	Mittfältare, aktiv 1982-1988, matcher 192
596	Thomas "Boda" Bodström	Högerback, aktiv 1987-1989, matcher 52
576	Thomas Johansson	Forward, aktiv 1981-1989, matcher 147
610	Thomas "Tolle" Lagerlöf	Mittfältare, aktiv 1985-2008, matcher 288
588	Thomas Lundmark	Mittfältare, aktiv 1985-1988, matcher 114
1293	Tom Strannegård	Mittfältare, aktiv 2019-2023, matcher 55
811	Tomi Maanoja	Målvakt, aktiv 2008-2011, matcher 35
186	Tommy Lundh	Forward, aktiv 1973-1976, matcher 76
185	Torbjörn "Tobbe" Ek	Center, aktiv 1971-1973, matcher 64
457	Tord Grip	Mittfältare, aktiv 1966-1968, matcher 87
251	Torsten "Ala" Arnberg	Högerback, aktiv 1928-1928, matcher 8
856	Ulf Schramm	Lagledare, aktiv 1974-1974, matcher 
598	Urban "Ubbe" Hammar	Vänster mittfältare, aktiv 1987-1987, matcher 1
276	Valter "Valle" Sköld	Back, aktiv 1933-1942, matcher 186
1431	Victor Andersson	Mittfältare, aktiv 2021-2022, matcher 13
1477	Viktor Fischer	Vänsterytter, aktiv 2023- ?, matcher 13
777	Viktor Lundberg	, aktiv 2009-2013, matcher 149
1460	Vincent Thill	Mittfältare, aktiv 2022- ?, matcher 29
661	Vyacheslav "Slavik" Jevtushenko	Mittfältare, aktiv 1989-2003, matcher 37
770	Walid Atta	Mittback, aktiv 2007-2010, matcher 69
247	Wilhelm "Mulle" Petersén	Centerhalv, aktiv 1924-1939, matcher 84
231	Wilhelm "Ville" van der Haagen	Målvakt, aktiv 1925-1926, matcher 8
9	Wilton Figueiredo	Forward, aktiv 2005-2007, matcher 73
1327	Yasin Ayari	Mittfältare, aktiv 2020-2023, matcher 69
184	Yngve Leback	Forward, aktiv 1971-1978, matcher 231
799	Yussuf Saleh	Yttermittfältare, aktiv 2008-2012, matcher 43
1425	Zachary "Zack" Elbouzedi	Mittfältare, aktiv 2021- ?, matcher 70
