id	name	description
657	Daniel Andersson	Målvakt, aktiv 2000-2002, matcher 84
11	Daniel Arnefjord	Mittback, aktiv 2006-2008, matcher 82
1247	Daniel Granli	Back, aktiv 2019-2021, matcher 44
807	Daniel Gustavsson	, aktiv 2009-2014, matcher 107
27	Daniel "Hochen" Hoch	Forward, aktiv 1997-2005, matcher 169
841	Daniel Majstorović	Mittback, aktiv 2012-2014, matcher 22
57	Daniel Mendes	Forward, aktiv 2006-2008, matcher 93
1236	Daniel Mushitu	Forward, aktiv 2016-2020, matcher 9
1	Daniel Örlund	Målvakt, aktiv 2002-2010, matcher 192
853	Daniel Sundgren	Mittfältare, aktiv 2016-2019, matcher 129
8	Daniel "Tjerna" Tjernström	Mittfältare, aktiv 1999-2013, matcher 481
819	David Fällman	Back, aktiv 2012-2012, matcher 12
650	David Ljung	Innerback, aktiv 1998-2001, matcher 81
619	David Nildén	Mittfältare, aktiv 1985-1993, matcher 4
1214	Denni Avdić	Forward, aktiv 2016-2018, matcher 73
6	Dennis "Dempa" Östlundh	Mittfältare, aktiv 1992-2007, matcher 56
19	Derek Boateng	Mittfältare, aktiv 2003-2006, matcher 66
189	Dick Lidman	Forward, aktiv 1992-1997, matcher 160
1177	Dickson Etuhu	Mittfältare, aktiv 2014-2017, matcher 35
86	Dieter "Budde" Burdenski	Målvakt, aktiv 1988-1988, matcher 1
662	Dime Jankulovski	Målvakt, aktiv 2001-2002, matcher 13
30	Dulee Johnson	Defensiv mittfältare, aktiv 2006-2011, matcher 150
1168	Ebenezer Ofori	Ytterback, aktiv 2013-2022, matcher 183
690	Edvin Sandborg	, aktiv ? - ?, matcher 1
1079	Edward Owusu	Mittback, aktiv 2012-2016, matcher 17
1172	Eero Markkanen	Forward, aktiv 2014-2018, matcher 75
283	Einar "Eje, Bolas" Bohlin	Vänsterinner, aktiv 1934-1940, matcher 35
1470	Elias Durmaz	Mittfältare, aktiv 2023- ?, matcher 11
212	Elis Ekholm	Vänsterhalv, aktiv 1918-1932, matcher 53
784	Emil Berger	Mittfältare, aktiv 2008-2008, matcher 1
1083	Emil Skogh	Vänsterback, aktiv 2009-2014, matcher 1
1209	Enoch Kofi Adu	Mittfältare, aktiv 2017-2021, matcher 118
383	Eric Grübb	Center, aktiv 1950-1952, matcher 13
1289	Eric Kahl	Back, aktiv 2005-2021, matcher 44
1303	Erick Otieno	Vänsterback, aktiv 2020- ?, matcher 113
284	Erik "Jerker" Almgren	Halvback, aktiv 1934-1964, matcher 213
980	Erik "Berka" Bergqvist	Målvakt, aktiv 1915- ?, matcher 17
1533	Erik "Berka" Bergqvist	Vänsterytter, aktiv ? - ?, matcher 1
658	Erik Edman	Vänsterback, aktiv 2000-2001, matcher 37
1258	Erik Ring	Mittfältare, aktiv 2018-2020, matcher 82
346	Erik Svensson	Vänsterytter, aktiv 1944-1944, matcher 1
221	Ernst "Sudden, Ärtan" Wahlberg	Vänsterinner, aktiv 1923-1934, matcher 154
594	Esa Pekonen	Back, aktiv 1987-1989, matcher 49
241	Evald Allard	Back, aktiv 1920-1930, matcher 2
421	Evert "Bäckis" Jansson	Vänsterinner, aktiv 1957-1958, matcher 18
1279	Felix Michel	Back, aktiv 2019-2022, matcher 28
1381	Filip Rogić	Mittfältare, aktiv 2020-2022, matcher 38
946	Frank Pettersson	Goalkeeper, aktiv 2001-2004, matcher 1
76	Fredrik Björck	Innerback, aktiv 2003-2004, matcher 59
1179	Fredrik Brustad	Forward, aktiv 2015-2016, matcher 60
