item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q3052243,Q3052243,Emil Salomonsson,https://ifkdb.se/spelare/Emil-Salomonsson_819,https://sv.wikipedia.org/wiki/Emil_Salomonsson,https://sv.wikipedia.org/wiki/Emil_Salomonsson,Emil Salomonsson,Emil Salomonsson,match,True
http://www.wikidata.org/entity/Q3136604,Q3136604,Mikael Dyrestam,https://ifkdb.se/spelare/Mikael-Dyrestam_772,https://sv.wikipedia.org/wiki/Mikael_Dyrestam,https://sv.wikipedia.org/wiki/Mikael_Dyrestam,Mikael Dyrestam,Mikael Dyrestam,match,True
http://www.wikidata.org/entity/Q3180374,Q3180374,Johan Anegrund,https://ifkdb.se/spelare/Johan-Anegrund_78,https://sv.wikipedia.org/wiki/Johan_Anegrund,https://sv.wikipedia.org/wiki/Johan_Anegrund,Johan Anegrund,Johan Anegrund,match,True
http://www.wikidata.org/entity/Q3476877,Q3476877,Sebastian Johansson,https://ifkdb.se/spelare/Sebastian-Johansson_350,https://sv.wikipedia.org/wiki/Sebastian_Johansson,https://sv.wikipedia.org/wiki/Sebastian_Johansson,Sebastian Johansson,Sebastian Johansson,match,True
http://www.wikidata.org/entity/Q3512713,Q3512713,Patrice Kwedi,https://ifkdb.se/spelare/Patrice-Kwedi_800,https://sv.wikipedia.org/wiki/Patrice_Kwedi,https://sv.wikipedia.org/wiki/Patrice_Kwedi,Patrice Kwedi,Patrice Kwedi,match,True
http://www.wikidata.org/entity/Q3675661,Q3675661,Christian Karlsson,https://ifkdb.se/spelare/Christian-Karlsson_373,https://sv.wikipedia.org/wiki/Christian_Karlsson,https://sv.wikipedia.org/wiki/Christian_Karlsson,Christian Karlsson,Christian Karlsson,match,True
http://www.wikidata.org/entity/Q3705494,Q3705494,Dennis Jonsson,https://ifkdb.se/spelare/Dennis-Jonsson_361,https://sv.wikipedia.org/wiki/Dennis_Jonsson,https://sv.wikipedia.org/wiki/Dennis_Jonsson,Dennis Jonsson,Dennis Jonsson,match,True
http://www.wikidata.org/entity/Q3707147,Q3707147,Diego Calvo,https://ifkdb.se/spelare/Diego-Calvo_766,https://sv.wikipedia.org/wiki/Diego_Calvo,https://sv.wikipedia.org/wiki/Diego_Calvo,Diego Calvo,Diego Calvo,match,True
http://www.wikidata.org/entity/Q3785984,Q3785984,Hjörtur Hermannsson,https://ifkdb.se/spelare/Hjörtur-Hermannsson_863,https://sv.wikipedia.org/wiki/Hj%C3%B6rtur_Hermannsson,https://sv.wikipedia.org/wiki/Hj%C3%B6rtur_Hermannsson,Hjörtur Hermannsson,Hjörtur Hermannsson,match,True
http://www.wikidata.org/entity/Q11970093,Q11970093,Fredrik Oldrup Jensen,https://ifkdb.se/spelare/Fredrik-Oldrup+Jensen_876,https://sv.wikipedia.org/wiki/Fredrik_Oldrup_Jensen,https://sv.wikipedia.org/wiki/Fredrik_Oldrup_Jensen,Fredrik Oldrup Jensen,Fredrik Oldrup Jensen,match,True
