id,name,desc
vytautas-andriuskevicius,Vytautas Andriuskevicius,"football försvarare (born 1990), Djurgårdens IF player 2013–2014"
niklas-anger,Niklas Anger,"football forward (born 1977), Djurgårdens IF player 1969–1970"
goran-aral,Göran Aral,"football försvarare (born 1953), Djurgårdens IF player 1953–1975"
kari-arnason,Kari Arnason,"football mittfältare (born 1982), Djurgårdens IF player 2005–2006"
johan-arneng,Johan Arneng,"football mittfältare (born 1979), Djurgårdens IF player 2006–2007"
lars-laban-arnesson,Lars Arnesson,"football back (born 1936), Djurgårdens IF player 1964–1965"
linus-arnesson,Linus Arnesson,"football back (born 1994), Djurgårdens IF player 2021–2022"
jan-aronsson,Jan Aronsson,"football högerytter (born 1931), Djurgårdens IF player 1931–1959"
mats-aronsson,Mats Aronsson,"football anfallare (born ), Djurgårdens IF player 1981–1982"
ronnie-aronsson,Ronnie Aronsson,"football anfallare (born 1961), Djurgårdens IF player 1961–1981"
christer-andersson-mossberg,Folke Arsjö,"football player (born 1903), Djurgårdens IF player 1930–1931"
arne-arvidsson,Arne Arvidsson,"football målvakt (born 1929), Djurgårdens IF player 1965–1966"
jesper-arvidsson,Jesper Arvidsson,"football försvarare (born 1985), Djurgårdens IF player 2014–2015"
wilhelm-arwe,Wilhelm Arwe,"football forward (born 1898), Djurgårdens IF player 1929–1930"
joel-asoro,Joel Asoro,"football anfallare (born 1999), Djurgårdens IF player 2022–2023"
ted-attersand,Ted Attersand,"football back (born 1952), Djurgårdens IF player 1952–1969"
jonathan-augustinsson,Jonathan Augustinsson,"football vänsterback (born 1996), Djurgårdens IF player 2018–2019"
alf-axberg,Alf Axberg,"football forward (born 1914), Djurgårdens IF player 1932–1933"
yosif-ayuba,Yosif Ayuba,"football Moderklubb: (born 1990), Djurgårdens IF player 2009–2010"
ibrahim-ba,Ibrahim Ba,"football anfallare (born 1973), Djurgårdens IF player 1973–2005"
tomas-backman,Tomas Backman,"football försvarare/mittfältare (born 1980), Djurgårdens IF player 1980–2004"
aliou-badji,Aliou Badji,"football anfallare (born 1997), Djurgårdens IF player 2017–2018"
anna-bagge,Anna Bagge,"football back (born 1973), Djurgårdens IF player 1995–1996"
carlos-banda,Carlos Banda,"football försvarare (born 1977), Djurgårdens IF player 1997–1998"
emmanuel-banda,Emmanuel Banda,"football mittfältare (born 1997), Djurgårdens IF player 2021–2022"
yannick-ngabu-bapupa,Yannick Ngabu Bapupa,"football mittfältare (born 1982), Djurgårdens IF player 2003–2004"
niklas-barklund,Niklas Barklund,"football forward (born 1973), Djurgårdens IF player 1973–1998"
abgar-barsom,Abgar Barsom,"football mittfältare (born 1977), Djurgårdens IF player 2005–2006"
stefan-batan,Stefan Batan,"football mittfältare (born 1985), Djurgårdens IF player 2007–2008"
felix-beijmo,Felix Bejmo,"football försvarare (born 1998), Djurgårdens IF player 2017–2018"
anders-bengtsson,Anders Bengtsson,"football mittfältare (born 1969), Djurgårdens IF player 1969–1996"
folke-bengtsson,Folke Bengtsson,"football forward (born 1944), Djurgårdens IF player 1974–1975"
kent-bengtsson,Kent Bengtsson,"football back (born 1952), Djurgårdens IF player 1975–1976"
pierre-bengtsson,Pierre Bengtsson,"football ytterback (born 1988), Djurgårdens IF player 2022–2023"
erik-berg,Erik Berg,"football back (born 1988), Djurgårdens IF player 2018–2019"
oliver-berg,Oliver Berg,"football mittfältare (born 1993), Djurgårdens IF player 1993–2023"
rolf-berggren,Rolf Berggren,"football forward (born 1934), Djurgårdens IF player 1962–1963"
tommy-baloo-berggren,Tommy Berggren,"football försvarare/anfallare (born 1950), Djurgårdens IF player 1981–1982"
sigvard-bergh,Sigvard Bergh,"football anfallare (born 1912), Djurgårdens IF player 1939–1940"
kenneth-bergkvist,Kenneth Bergkvist,"football försvarare (born 1968), Djurgårdens IF player 1996–1997"
bo-berglund,Bo Berglund,"football forward (born 1955), Djurgårdens IF player 1981–1982"
charles-berglund,Charles Berglund,"football forward (born 1965), Djurgårdens IF player 1999–2000"
emil-berglund,Emil Berglund,"football forward (born 1994), Djurgårdens IF player 2021–2022"
tomas-bergman,Tomas Bergman,"football player (born 1950), Djurgårdens IF player 1965–1966"
adam-bergmark-wiberg,Adam Bergmark Wiberg,"football anfallare (born 1997), Djurgårdens IF player 1997–2019"
malin-bergquist,Malin Bergquist,"football mittfältare (born 1970), Djurgårdens IF player 1991–1992"
christer-bergqvist,Christer Bergqvist,"football försvarare (born 1973), Djurgårdens IF player 1997–1998"
thonny-bergqvist,Thonny Bergqvist,"football anfallare (born 1944), Djurgårdens IF player 1944–1968"
eva-bergsten,Eva Bergsten,"football forward (born 1967), Djurgårdens IF player 1991–1992"
emil-bergstrom,Emil Bergström,"football försvarare (born 1993), Djurgårdens IF player 2014–2015"
gerhard-bergstrom,Gerhard Bergström,football player (born 1875)
jacob-bergstrom,Jacob Bergström,"football anfallare (born 1995), Djurgårdens IF player 1995–2023"
johan-bergstrom,Johan Bergström,"football mittfältare (born 1973), Djurgårdens IF player 1973–1994"
pelle-bergstrom,Pelle Bergström,football player (born 1920)
stefan-bergtoft,Stefan Bergtoft,"football mittfältare (born 1979), Djurgårdens IF player 2005–2006"
lucas-bergvall,Lucas Bergvall,"football mittfältare (born 2006), Djurgårdens IF player 2006–2023"
theo-bergvall,Theo Bergvall,"football ytterback (born 2004), Djurgårdens IF player 2004–2023"
oscar-bernadotte,Oscar Bernadotte,football player (born 1921)
daniel-berntsen,Daniel Berntsen,"football Moderklubb: (born 1993), Djurgårdens IF player 2015–2016"
per-bilen,Per Bilén,"football back (born 1965), Djurgårdens IF player 1984–1985"
dan-bingestam,Dan Bingestam,"football försvarare (born 1951), Djurgårdens IF player 1972–1973"
anna-bjurstrom,Anna Bjurström,"football forward (born 1972), Djurgårdens IF player 1988–1989"
carl-bjork,Carl Björk,"football anfallare (born 1992), Djurgårdens IF player 1992–2011"
stefan-bjork,Stefan Björk,"football back (born 1976), Djurgårdens IF player 1995–1996"
august-bjorkdahl,August Björkdahl,football player (born 1873)
johan-bjorkdahl,Johan Björkdahl,"football player (born 1875), Djurgårdens IF player 1902–1904"
bo-bjorkman,Bo Björkman,"football ytter (born 1916), Djurgårdens IF player 1946–1947"
olle-bjorkman,Olle Björkman,"football Moderklubb: Västerås IK (born 1920), Djurgårdens IF player 1944–1945"
