id,name,desc
379,thomas hallberg,"football player, GAIS player"
162,Åke hallman,"football player, IFK Göteborg player"
122,sven hammar,"football player, GAIS player"
241,nils hansén,"football player, IFK Göteborg player"
15,Åke hansson,"football player, IFK Göteborg player"
15,Åke hansson,"football player, GAIS player"
78,evert hansson,"football player, Örgryte IS player"
197,holger hansson,"football player, IFK Göteborg player"
146,knut hansson,"football player, Landskrona BoIS player"
248,per-olof hansson,"football player, IFK Göteborg player"
294,rolf hansson,"football player, Örgryte IS player"
55,viktor hansson,"football player, IFK Göteborg player"
298,lars-ove haraldsson,"football player, GAIS player"
312,kent harman,"football player, GAIS player"
62,einar hedeberg,"football player, Örgryte IS player"
301,christer heideberg,"football player, GAIS player"
60,henning helgesson,"football player, Örgryte IS player"
246,ove helmér,"football player, IK Oddevold player"
244,lars henriksson,"football player, IFK Göteborg player"
34,gustaf hermansson,"football player, IFK Göteborg player"
42,fritjof hillén,"football player, GAIS player"
89,alf hjelm,"football player, GAIS player"
10,erik hjelm,"football player, IFK Göteborg player"
302,gunder högström,"football player, GAIS player"
61,gunnar holmberg,"football player, GAIS player"
73,karl-erik holmberg,"football player, Örgryte IS player"
35,ivan holmdahl,"football player, GAIS player"
92,vallentin hultén,"football player, IFK Göteborg player"
91,olof hultfeldt,"football player, IFK Göteborg player"
88,erik hultgren,"football player, Örgryte IS player"
87,erik hysén,"football player, IFK Göteborg player"
354,glenn hysén,"football player, GAIS player"
354,glenn hysén,"football player, IFK Göteborg player"
373,jethro jackson,"football player, GAIS player"
208,karl-alfred jacobsson,"football player, GAIS player"
215,sanny jacobsson,"football player, GAIS player"
144,sven jacobsson,"football player, GAIS player"
221,lars jangblad,"football player, IFK Göteborg player"
231,bertil jansson,"football player, Örgryte IS player"
272,per-Åke jansson,"football player, IFK Göteborg player"
353,sören järelöv,"football player, GAIS player"
190,hasse jeppson,"football player, Örgryte IS player"
190,hasse jeppson,"football player, SSC Napoli player"
200,rune jingård,"football player, GAIS player"
270,kurt johanson,"football player, Örgryte IS player"
45,baldwin johansson,"football player, IFK Göteborg player"
235,bebben johansson,"football player, IFK Göteborg player"
247,bengt-göran johansson,"football player, Örgryte IS player"
284,bo johansson,"football player, GAIS player"
56,einar johansson,"football player, GAIS player"
53,elam johansson,"football player, IFK Göteborg player"
64,erik johansson,"football player, GAIS player"
20,filip johansson,"football player, IFK Göteborg player"
151,folke johansson,"football player, IFK Göteborg player"
209,gunnar johansson,"football player, GAIS player"
46,gustaf johansson,"football player, GAIS player"
66,gustav johansson,"football player, Örgryte IS player"
314,hans johansson,"football player, GAIS player"
108,harry johansson,"football player, GAIS player"
108,harry johansson,"football player, Gårda BK player"
96,holger johansson,"football player, GAIS player"
262,jan johansson,"football player, IFK Göteborg player"
40,john johansson,"football player, GAIS player"
6,karl johansson,"football player, IFK Göteborg player"
168,knut johansson,"football player, IF Elfsborg player"
290,lars-göran johansson,"football player, Örgryte IS player"
324,lennart johansson,"football player, Örgryte IS player"
356,magnus johansson,"football player, IFK Göteborg player"
263,nils johansson,"football player, IFK Göteborg player"
119,olof johansson,"football player, IFK Göteborg player"
277,paul johansson,"football player, IFK Göteborg player"
238,roger johansson,"football player, IFK Göteborg player"
236,roland johansson,"football player, GAIS player"
249,ronald johansson,"football player, IFK Göteborg player"
49,sven johansson,"football player, IFK Göteborg player"
201,egon johnsson,"football player, GAIS player"
123,sven jonasson,"football player, IF Elfsborg player"
107,carl jonsson,"football player, GAIS player"
30,fridolf jonsson,"football player, GAIS player"
113,helge jonsson,"football player, IFK Göteborg player"
229,nils jonsson,"football player, IFK Göteborg player"
269,stig jonsson,"football player, Örgryte IS player"
376,tomas jönsson,"football player, GAIS player"
335,yngve källkvist,"football player, Örgryte IS player"
365,pontus kåmark,"football player, IFK Göteborg player"
258,gunnar kämpendahl,"football player, GAIS player"
337,conny karlsson,"football player, IFK Göteborg player"
145,einar karlsson,"football player, Gårda BK player"
180,göte karlsson,"football player, GAIS player"
351,gunnar karlsson,"football player, Örgryte IS player"
9,herbert karlsson,"football player, IFK Göteborg player"
366,joachim karlsson,"football player, Örgryte IS player"
32,nils karlsson,"football player, GAIS player"
377,ola karlsson,"football player, Örgryte IS player"
285,roger karlsson,"football player, Örgryte IS player"
340,rolf karlsson,"football player, Örgryte IS player"
116,walter karlsson,"football player, GAIS player"
157,willis karlsson,"football player, Billingsfors IK player"
360,nicklas karlström,"football player, GAIS player"
378,anders kiel,"football player, GAIS player"
338,ove kindvall,"football player, IFK Göteborg player"
4,ivar klingström,"football player, Örgryte IS player"
265,arne knutsson,"football player, IFK Göteborg player"
33,carl krantz,"football player, Örgryte IS player"
207,karl erik kristensson,"football player, Örgryte IS player"
175,Åke kristiansson,"football player, IFK Göteborg player"
48,albert kristiansson,"football player, Örgryte IS player"
36,douglas krook,"football player, GAIS player"
36,douglas krook,"football player, Örgryte IS player"
95,svejde krook,"football player, IFK Göteborg player"
104,evert lager,"football player, Örgryte IS player"
320,benno larsen,"football player, GAIS player"
313,berry larsson,"football player, Örgryte IS player"
153,folke larsson,"football player, IFK Göteborg player"
206,henry larsson,"football player, IFK Göteborg player"
160,leif larsson,"football player, IFK Göteborg player"
160,leif larsson,"football player, GAIS player"
