,wikipedia_sv,wikidata_qid,birthdate_wd,has_P54_IFK
86,Garðar Gunnlaugsson,Q723426,+1983-09-07T00:00:00Z,True
87,Mathias Gravem,Q5769301,+1976-03-15T00:00:00Z,True
88,Léandre Griffit,Q2402742,+1984-05-21T00:00:00Z,True
89,Guðmundur Þórarinsson,Q3780126,+1992-04-15T00:00:00Z,True
90,Gunnar Heidar Thorvaldsson,Q725957,+1982-04-01T00:00:00Z,True
91,Gunnar Thor Gunnarsson,Q24947,+1985-10-04T00:00:00Z,True
92,Niklas Gunnarsson,Q11991406,+1991-04-27T00:00:00Z,False
93,Yahav Gurfinkel,Q86264721,+1998-06-27T00:00:00Z,True
94,Eddie Gustafsson,Q464216,+1977-01-31T00:00:00Z,False
95,Magnus Gustafsson (fotbollsspelare),Q115787864,+1967-01-24T00:00:00Z,True
96,Stig Gustafsson (fotbollsspelare född 1931),Q125914604,+1931-09-15T00:00:00Z,False
97,Bengt Gustavsson (fotbollsspelare),Q817228,+1928-01-13T00:00:00Z,False
98,Andreas Hadenius,Q16633004,+1991-03-18T00:00:00Z,True
99,Andreas Haglund,Q5782537,+1990-01-01T00:00:00Z,False
100,Sead Hakšabanović,Q19904159,+1999-05-04T00:00:00Z,True
101,Linus Hallenius,Q969946,+1989-04-01T00:00:00Z,False
102,Mirza Halvadzic,Q18206303,+1996-02-15T00:00:00Z,True
103,Vito Hammershøy-Mistrati,Q12341192,+1992-06-15T00:00:00Z,True
104,Mikael Hansson,Q5789466,+1968-03-15T00:00:00Z,True
105,Shpëtim Hasani,Q132326,+1982-08-10T00:00:00Z,True
106,Abbas Hassan,Q305870,+1985-05-10T00:00:00Z,True
107,Fritiof Hellichius,Q114450442,+2003-08-03T00:00:00Z,False
108,Jan Hellström,Q726900,+1960-02-21T00:00:00Z,False
109,Lennart Hemming,Q103832151,+1932-05-13T00:00:00Z,False
110,Karl Holmberg (fotbollsspelare),Q5810951,+1993-03-03T00:00:00Z,False
111,Erik Holmqvist (fotbollsspelare),Q126883596,+1917-03-04T00:00:00Z,False
112,Oskar Holmqvist,Q137778329,+1914-07-01T00:00:00Z,False
113,Fabian Holst-Larsen,Q119952705,+2004-12-30T00:00:00Z,False
114,Göran Holter,Q1559441,+1963-11-16T00:00:00Z,True
115,Christer Hult,Q15613734,+1946-06-04T00:00:00Z,False
116,Olle Håkansson,Q1370178,+1927-02-22T00:00:00Z,False
117,Per Mathias Høgmo,Q1376216,+1959-12-01T00:00:00Z,True
118,Kevin Höög Jansson,Q87907791,+2000-09-29T00:00:00Z,False
119,Armando Ibraković,Q5821905,+1988-10-23T00:00:00Z,False
120,De Pievre Ilunga,Q118265388,+2006-01-02T00:00:00Z,False
121,Ísak Andri Sigurgeirsson,Q120739321,+2003-09-11T00:00:00Z,False
122,Alexander Jakobsen,Q14624150,+1994-03-18T00:00:00Z,True
123,Felix Jakobsson,Q104958377,+1999-09-16T00:00:00Z,False
124,Wille Jakobsson,Q105722098,+2002-01-07T00:00:00Z,False
125,Dime Jankulovski,Q1225694,+1977-06-18T00:00:00Z,False
126,Gustav Jansson (fotbollsspelare),Q5879519,+1986-02-24T00:00:00Z,False
127,Jan Jansson (fotbollsspelare),Q2440020,+1968-01-26T00:00:00Z,False
128,Oscar Jansson,Q1647379,+1990-12-23T00:00:00Z,False
129,Elias Jemal,Q131552692,+2003-03-03T00:00:00Z,False
130,Ísak Bergmann Jóhannesson,Q73404602,+2003-03-23T00:00:00Z,True
131,Andreas Johansson (fotbollsspelare född 1982),Q498576,+1982-03-10T00:00:00Z,False
132,Marcus Johansson (fotbollsspelare),Q5887068,+1994-02-01T00:00:00Z,True
133,Torsten Johansson (fotbollsspelare),Q10700409,+1906-01-17T00:00:00Z,True
134,"Åke ""Bajdoff"" Johansson",Q270895,+1928-03-19T00:00:00Z,False
135,Jón Guðni Fjóluson,Q950193,+1989-04-10T00:00:00Z,True
136,Jan-Åke Jonsson (fotbollsspelare),Q137258543,+1953-02-06T00:00:00Z,False
137,Leo Jonsson,Q122330666,+2004-04-16T00:00:00Z,False
138,Lukas Jonsson,Q56521003,+1992-10-21T00:00:00Z,False
139,Magnus Jonsson (fotbollsmålvakt),Q1884566,+1977-09-23T00:00:00Z,True
140,Torbjörn Jonsson,Q349517,+1936-05-06T00:00:00Z,False
141,Patrik Jönsson (fotbollsspelare),Q5896078,+1982-04-08T00:00:00Z,True
142,Jan Kalén,Q101693892,+1962-09-19T00:00:00Z,False
143,Alhaji Kamara,Q4724420,+1994-04-16T00:00:00Z,True
144,Darrell Kamdem Tibell,Q112079039,+2002-02-20T00:00:00Z,False
145,Göran E. Karlsson,Q138412968,+1953-04-12T00:00:00Z,False
146,Imad Khalili,Q5907676,+1987-04-03T00:00:00Z,False
147,Kristoffer Khazeni,Q105071585,+1995-06-25T00:00:00Z,False
148,Niclas Kindvall,Q349338,+1967-02-19T00:00:00Z,False
149,Ove Kindvall,Q367816,+1943-05-16T00:00:00Z,False
150,Adnan Kojic,Q26211823,+1995-10-28T00:00:00Z,True
151,Lars Krogh Gerson,Q1383959,+1990-02-05T00:00:00Z,True
152,Emir Kujović,Q550939,+1988-06-22T00:00:00Z,False
153,Manasse Kusu,Q64410223,+2001-12-22T00:00:00Z,True
154,Jevgenij Kuznetsov (fotbollsspelare),Q1438699,+1961-08-30T00:00:00Z,True
155,Henry Källgren,Q1606973,+1931-03-13T00:00:00Z,False
156,Evert Lager,Q125346406,+1907-07-15T00:00:00Z,True
157,Haris Laitinen,Q5657766,+1984-12-05T00:00:00Z,True
158,Michael Langer,Q78876,+1985-01-06T00:00:00Z,True
159,Kasper Larsen,Q6374661,+1993-01-25T00:00:00Z,True
160,Håkan Larsson (fotbollsspelare),Q138413674,+1955-02-15T00:00:00Z,False
161,Jordan Larsson,Q17484196,+1997-06-20T00:00:00Z,False
162,Svante Larsson,Q47546146,+1955-04-23T00:00:00Z,True
163,Dick Last,Q354117,+1969-02-03T00:00:00Z,False
164,Rasmus Lauritsen,Q22006194,+1996-02-27T00:00:00Z,True
165,Rawez Lawan,Q919262,+1987-10-04T00:00:00Z,True
166,Jonathan Levi,Q30612091,+1996-01-23T00:00:00Z,False
167,Nils Liedholm,Q312633,+1922-10-08T00:00:00Z,False
168,Peter Liljedahl,Q138411517,+1955-10-24T00:00:00Z,False
169,Lucas Lima,Q104914253,+2002-04-02T00:00:00Z,False
170,Victor Lind,Q107985699,+2003-06-12T00:00:00Z,False
171,Andreas Lindberg,Q1117270,+1980-12-14T00:00:00Z,True
172,Torsten Lindberg,Q1336279,+1917-04-14T00:00:00Z,False
173,Erik Lindell,Q23916701,+1996-02-14T00:00:00Z,True
174,Otto Lindell,Q116517506,+2002-03-16T00:00:00Z,False
175,Julius Lindgren,Q104950745,+1997-07-17T00:00:00Z,False
176,Elvis Lindkvist,Q116483530,+2002-04-11T00:00:00Z,False
177,Mikael Lindskog,Q5958111,+1980-10-30T00:00:00Z,True
178,Jesper Lindvall,Q124635322,+2005-01-22T00:00:00Z,False
179,Marco Lund,Q27469968,+1996-06-30T00:00:00Z,True
180,Kent Lundqvist,Q63146296,+1957-05-21T00:00:00Z,True
181,Håkan Lundström,Q16633241,+1950-11-17T00:00:00Z,False
182,Siim Luts,Q328432,+1989-03-12T00:00:00Z,True
183,Gösta Löfgren,Q1370669,+1923-08-29T00:00:00Z,False
184,Peter Lönn,Q5969735,+1961-07-13T00:00:00Z,False
185,Roger Lönn,Q5969745,+1967-08-01T00:00:00Z,True
186,Thomas Magnusson (fotbollsspelare),Q126454,+1978-01-25T00:00:00Z,False
187,Feliciano Magro,Q3742258,+1979-02-02T00:00:00Z,True
188,Eman Markovic,Q56752557,+1999-05-08T00:00:00Z,False
189,Örjan Martinsson,Q297897,+1936-11-01T00:00:00Z,False
190,Otto Martler,Q16633260,+1987-02-27T00:00:00Z,False
191,Brian McDermott,Q316345,+1961-04-08T00:00:00Z,True
192,Christopher Meneses,Q5112864,+1990-05-02T00:00:00Z,True
193,David Moberg Karlsson,Q5237638,+1994-03-20T00:00:00Z,False
194,Mohanad Jeahze,Q26921018,+1997-04-10T00:00:00Z,True
195,Russell Mwafulirwa,Q715729,+1983-02-24T00:00:00Z,True
196,Tomas Månsson,Q138411582,+1957-10-01T00:00:00Z,False
197,Ihab Naser,Q74260132,+1997-01-11T00:00:00Z,True
198,Moutaz Neffati,Q123436577,+2004-09-04T00:00:00Z,False
199,Ryan Nelson,Q137731189,+1997-10-14T00:00:00Z,False
200,David Mitov Nilsson,Q5238039,+1991-01-12T00:00:00Z,False
201,Mika Niskala,Q2468175,+1981-03-28T00:00:00Z,True
202,Gunnar Nordahl,Q110111,+1921-10-19T00:00:00Z,False
203,Göran Nordahl,Q1559464,+1928-11-22T00:00:00Z,True
204,Gösta Nordahl,Q1559673,+1928-11-22T00:00:00Z,True
205,Knut Nordahl,Q305262,+1920-01-13T00:00:00Z,False
206,David Nordbeck,Q6014216,+1978-05-25T00:00:00Z,True
207,Pontus Nordenberg,Q16801983,+1995-02-16T00:00:00Z,False
208,Olle Nordin,Q1375573,+1949-11-23T00:00:00Z,False
209,Björn Nordqvist,Q706608,+1942-10-06T00:00:00Z,False
210,Bengt Nyholm,Q817236,+1930-01-30T00:00:00Z,False
211,Christoffer Nyman,Q5111665,+1992-10-05T00:00:00Z,False
212,Holger Nyman,Q91243952,+1925-01-02T00:00:00Z,False
213,Pär-Olof Ohlsson,Q10355660,+1954-01-08T00:00:00Z,True
214,Liam Olausson,Q122147007,+2002-08-29T00:00:00Z,True
215,Oliver Stefánsson,Q135335667,+2002-08-03T00:00:00Z,False
216,Thor André Olsen,Q459741,+1964-04-28T00:00:00Z,True
217,Thomas Olsson (fotbollsspelare),Q741285,+1976-02-15T00:00:00Z,True
218,Simon Omekanda,Q6028381,+1984-09-15T00:00:00Z,True
219,Kojo Peprah Oppong,Q117848823,+2004-06-04T00:00:00Z,False
220,Jacob Ortmark,Q18193244,+1997-08-29T00:00:00Z,False
221,Ulf Ottosson,Q2474852,+1968-07-02T00:00:00Z,True
222,Sven Persson (1918–1994),Q131181437,+1918-03-26T00:00:00Z,True
223,Håkan Pettersson (fotbollsspelare),Q132859914,+1957-03-03T00:00:00Z,False
224,Isak Pettersson,Q29246543,+1997-06-06T00:00:00Z,False
225,Stefan Pettersson (fotbollsspelare),Q764704,+1963-03-22T00:00:00Z,False
226,Igor Ponomarjov,Q2635570,+1960-02-24T00:00:00Z,True
227,Petru Racu,Q3132576,+1987-07-17T00:00:00Z,True
228,Theodore Rask,Q105071784,+2000-05-01T00:00:00Z,False
229,Emil Roback,Q74226131,+2003-05-03T00:00:00Z,False
230,Hans Rosander,Q6078735,+1937-01-05T00:00:00Z,True
231,Birger Rosengren,Q353325,+1917-10-29T00:00:00Z,False
232,Mikael Roth,Q6081195,+1976-07-08T00:00:00Z,True
233,Jonny Rödlund,Q1703466,+1971-12-22T00:00:00Z,False
234,Viktor Rönneklev,Q6086870,+1982-08-16T00:00:00Z,True
235,Klebér Saarenpää,Q723913,+1975-12-14T00:00:00Z,False
236,Dino Salihovic,Q105402394,+2002-12-02T00:00:00Z,True
237,Alfons Sampsted,Q30586199,+1998-04-06T00:00:00Z,True
238,Magnus Samuelsson (fotbollsspelare),Q1884603,+1972-04-15T00:00:00Z,True
239,Ture Sandberg,Q117538299,+2005-05-12T00:00:00Z,False
240,Herbert Sandin,Q6092766,+1928-03-16T00:00:00Z,True
241,Bruno Santos da Silva,Q4979391,+1983-08-31T00:00:00Z,True
242,Kylian Seka,Q137888206,+2006-11-23T00:00:00Z,False
243,Ken Sema,Q10544852,+1993-09-30T00:00:00Z,False
244,Maic Sema,Q724619,+1988-12-02T00:00:00Z,True
245,Noel Sernelius,Q121832366,+2006-07-24T00:00:00Z,False
246,Sasa Sjanic,Q17388763,+1986-02-18T00:00:00Z,True
247,Daniel Sjölund,Q558965,+1983-04-22T00:00:00Z,True
248,Edvard Skagestad,Q2009866,+1988-07-06T00:00:00Z,True
249,Morten Skjønsberg,Q734964,+1983-02-12T00:00:00Z,True
250,Simon Skrabb,Q3334931,+1995-01-19T00:00:00Z,True
251,Martin Smedberg-Dalence,Q6181313,+1984-05-10T00:00:00Z,True
252,Eric Smith,Q18145133,+1997-01-08T00:00:00Z,True
253,Ian Smith (fotbollsspelare),Q29877016,+1998-03-06T00:00:00Z,True
254,Richard Spong,Q6185825,+1983-09-23T00:00:00Z,True
255,Isak Ssewankambo,Q17535560,+1996-02-27T00:00:00Z,False
256,Stefán Þórðarson,Q2668169,+1975-03-27T00:00:00Z,True
257,Vladimir Sudar,Q6194766,+1985-07-20T00:00:00Z,False
258,Antti Sumiala,Q609841,+1974-02-20T00:00:00Z,True
259,Stig Sundqvist,Q1377172,+1922-07-19T00:00:00Z,False
260,Kim Suominen,Q3815323,+1969-10-20T00:00:00Z,True
261,Ivar Svensson (fotbollsspelare),Q432376,+1893-11-07T00:00:00Z,False
262,Janne Svensson,Q1682264,+1956-04-24T00:00:00Z,False
263,Patrik Svensson (fotbollsspelare),Q24019180,+1979-06-06T00:00:00Z,True
264,Abdoulie Tamba,Q136324185,+2006-01-11T00:00:00Z,False
265,Joonas Tamm,Q1703522,+1992-02-02T00:00:00Z,True
266,Armin Tanković,Q4793537,+1990-03-22T00:00:00Z,True
267,Muamer Tanković,Q15718503,+1995-02-22T00:00:00Z,False
268,Tesfaldet Tekie,Q19819192,+1997-06-04T00:00:00Z,True
269,Edvin Tellgren,Q109805445,+2005-01-19T00:00:00Z,False
270,Christopher Telo,Q2966659,+1989-11-04T00:00:00Z,True
271,Isaac Kiese Thelin,Q6077213,+1992-06-24T00:00:00Z,False
272,Simon Thern,Q1342780,+1992-09-18T00:00:00Z,False
273,Nikola Tkalčić,Q6212130,+1989-12-03T00:00:00Z,True
274,Jesper Tolinsson,Q74223509,+2003-02-28T00:00:00Z,False
275,Mikael Torin,Q6213531,+1984-10-10T00:00:00Z,True
276,Kenneth Udjus,Q1644186,+1983-07-02T00:00:00Z,True
277,Sulo Vaattovaara,Q522581,+1962-07-18T00:00:00Z,False
278,Tommi Vaiho,Q6221117,+1988-09-13T00:00:00Z,False
279,Andreas Vaikla,Q22914419,+1997-02-19T00:00:00Z,True
280,Johannes Vall,Q18128983,+1992-10-19T00:00:00Z,False
281,Ivo Vazgeč,Q6099222,+1986-02-06T00:00:00Z,True
282,Linus Wahlqvist,Q16467587,+1996-11-11T00:00:00Z,True
283,Jonas Wallerstedt,Q727097,+1978-03-18T00:00:00Z,False
284,Max Watson,Q29480704,+1996-02-03T00:00:00Z,False
285,Jonas Weber,Q137826282,+2004-10-22T00:00:00Z,False
286,Benny Wendt,Q818082,+1950-11-04T00:00:00Z,False
287,Niklas Westberg,Q2277905,+1979-04-01T00:00:00Z,True
288,Anders Whass,Q6238897,+1981-03-16T00:00:00Z,True
289,Anders Wikström (fotbollsspelare),Q4753950,+1981-12-14T00:00:00Z,True
290,Joachim Yaw Acheampong,Q3749670,+1973-11-02T00:00:00Z,True
291,Martin Åslund,Q1570520,+1976-11-10T00:00:00Z,False
292,Mattias Östberg,Q1667271,+1977-08-24T00:00:00Z,True
293,Alexander Östlund,Q476621,+1978-11-02T00:00:00Z,False
