id,name,desc,type,url,wikidata
37,Erik Andersson,"Swedish association football player, played for BoIS, active ?, born 1997-05-03",Q5,,Q16157810
253,Gustaf Andersson,"Swedish association football player, played for BoIS, active ?, born 1979-11-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=253&link=visa-data,
39,Hans Andersson,"Swedish association football player, played for BoIS, active ?, born 1899-07-14",Q5,,
295,Helge Andersson,"Swedish association football player, played for BoIS, active ?, born 1895-06-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=295&link=visa-data,
41,Hugo Andersson,"Swedish association football player, played for BoIS, active ?, born 1903-11-06",Q5,,
42,Hugo Andersson,"Swedish association football player, played for BoIS, active ?, born 1965-11-17",Q5,,
319,Håkan Andersson,"Swedish association football player, played for BoIS, active ?, born 1972-10-30",Q5,https://boishistoria.se/visa-data/?what=spelare&id=319&link=visa-data,
340,Ivar Andersson,"Swedish association football player, played for BoIS, active ?, born 1908-08-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=340&link=visa-data,
3456,Jakob Andersson,"Swedish association football player, played for BoIS, active ?, born 1999-12-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3456&link=visa-data,Q96482589
348,Jan Andersson,"Swedish association football player, played for BoIS, active ?, born 1949-03-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=348&link=visa-data,
376,Johan Andersson,"Swedish association football player, played for BoIS, active ?, born 1983-08-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=376&link=visa-data,Q940329
48,Kurt Andersson,"Swedish association football player, played for BoIS, active ?, born 1934-06-03",Q5,,
49,Lars Andersson,"Swedish association football player, played for BoIS, active ?, born 1950-10-29",Q5,,
50,Lars Andersson,"Swedish association football player, played for BoIS, active ?, born 1959-08-02",Q5,,
51,Lars Andersson,"Swedish association football player, played for BoIS, active ?, born 1960-12-10",Q5,,
52,Lars Andersson,"Swedish association football player, played for BoIS, active ?, born 1968-11-02",Q5,,
483,Lennart Andersson,"Swedish association football player, played for BoIS, active ?, born 1947-04-09",Q5,https://boishistoria.se/visa-data/?what=spelare&id=483&link=visa-data,
533,Mathias Andersson,"Swedish association football player, played for BoIS, active ?, born 1993-04-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=533&link=visa-data,
55,Mats Andersson,"Swedish association football player, played for BoIS, active ?, born 1960-07-28",Q5,,
56,Mats Andersson,"Swedish association football player, played for BoIS, active ?, born 1965-10-12",Q5,,
583,Niklas Andersson,"Swedish association football player, played for BoIS, active ?, born 1965-04-25",Q5,https://boishistoria.se/visa-data/?what=spelare&id=583&link=visa-data,
58,Nils Andersson,"Swedish association football player, played for BoIS, active ?, born 1929-03-22",Q5,,
605,Olle Andersson,"Swedish association football player, played for BoIS, active ?, born 1932-02-02",Q5,https://boishistoria.se/visa-data/?what=spelare&id=605&link=visa-data,
608,Olof Andersson,"Swedish association football player, played for BoIS, active ?, born 1972-08-27",Q5,https://boishistoria.se/visa-data/?what=spelare&id=608&link=visa-data,
61,Oskar Andersson,"Swedish association football player, played for BoIS, active ?, born 1896-12-01",Q5,,
654,Philip Andersson,"Swedish association football player, played for BoIS, active ?, born 1992-05-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=654&link=visa-data,Q5555873
691,Rolf Andersson,"Swedish association football player, played for BoIS, active ?, born 1929-10-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=691&link=visa-data,Q19758568
722,Stefan Andersson,"Swedish association football player, played for BoIS, active ?, born 1971-06-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=722&link=visa-data,
769,Thomas Andersson,"Swedish association football player, played for BoIS, active ?, born 1978-08-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=769&link=visa-data,
780,Tim Andersson,"Swedish association football player, played for BoIS, active ?, born 1989-08-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=780&link=visa-data,
814,Villie Andersson,"Swedish association football player, played for BoIS, active ?, born 1926-06-09",Q5,https://boishistoria.se/visa-data/?what=spelare&id=814&link=visa-data,
820,Åke Andersson,"Swedish association football player, played for BoIS, active ?, born 1926-03-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=820&link=visa-data,
69,Nils-Åke Andersson,"Swedish association football player, played for BoIS, active ?, born 1932-10-28",Q5,,
237,Greger Andrijevski,"Swedish association football player, played for BoIS, active ?, born 1973-04-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=237&link=visa-data,Q5606477
678,Robert Andrijevski,"Swedish association football player, played for BoIS, active ?, born 1974-09-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=678&link=visa-data,
717,Simon Andrijevski,"Swedish association football player, played for BoIS, active ?, born 1949-07-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=717&link=visa-data,
142,Christian Antoine,"Swedish association football player, played for BoIS, active ?, born 1966-04-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=142&link=visa-data,
538,Mats Aronsson,"Swedish association football player, played for BoIS, active ?, born 1951-08-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=538&link=visa-data,Q445724
328,Igor Arsenijevic,"Swedish association football player, played for BoIS, active ?, born 1986-05-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=328&link=visa-data,
577,Muamet Asanovski,"Swedish association football player, played for BoIS, active ?, born 1991-07-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=577&link=visa-data,Q5560724
3732,Kofi Asare,"Swedish association football player, played for BoIS, active ?, born 2002-05-31",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3732&link=visa-data,Q125430154
157,Daniel Ask,"Swedish association football player, played for BoIS, active ?, born 1998-12-20",Q5,https://boishistoria.se/visa-data/?what=spelare&id=157&link=visa-data,Q56072720
