id,name,desc
225596352,Bertil Andersson,Ragnar Vilhelm Bertil Andersson Född: 7 mars 1905 Fotbollsspelare Position: försvarare Moderklubb: Djurgårdens IF 6 säsonger. 59 matcher. 4 mål. 1927/28 3 0 1928 ? 1929 ? 1930 ? 1931 ? 1932/33 11 0 1933/34 – 0 1934/35 16 4 1935/36 18 0 1936/37 11 0
225596353,Bertil Andersson,Nils Bertil Andersson (senare Aldrin) Född: 4 september 1905 Fotbollsspelare Position: Moderklubb: 1 säsong. 7 matcher. 8 mål. 1927/28 7 8
225596354,Bo Andersson,Bo Magnus Andersson Född: 26 augusti 1968 Fotbollsspelare Position: anfallare Moderklubb: Vasalunds IF 4 säsonger. 87 matcher. 41 mål. 1994 25 11 1995 23 11 1996 19 4 1997 20 2
225596355,Bror Andersson,Bror Oskar Andersson Född: 11 februari 1925 Ishockeyspelare Position: back Moderklubb: Tranebergs IF Säsonger Matcher Mål Assist Poäng 1948/49 4 0 0 0
225596356,Börje Andersson,Stig Börje Andersson Född: 30 mars 1946 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1965/66 10 3 3 6
225596357,Carl Andersson,Carl Mauritz Andersson Född: 22 september 1900 Fotbollsspelare Position: försvarare Moderklubb: Tranebergs IF 1 säsong. 18 matcher. 0 mål. 1927/28 18 0
225596358,Christer Andersson,Christer Andersson Född: 1940 Fotbollsspelare Position: anfallare Moderklubb: Djurgårdens IF 1 säsong. 3 matcher. 3 mål. 1961 3 3
225596359,Elias Andersson,Nils Erik Elias Andersson Född: 31 januari 1996 Fotbollsspelare Position: mittfältare Längd: 178 cm Nummer: 8 Moderklubb: Hässleholms IF 2021 2022 2023
225596360,Gustaf Andersson,Gustaf Adolf Andersson Född: 2 januari 1868 Medlem: 15 Grundare av Djurgårdens IF
225596361,Hans Andersson,Hans Gunnar Andersson Född: 7 februari 1945 Fotbollsspelare Position: ytter Moderklubb: 1 säsong. 4 matcher. 0 mål. 1965 4 0
225596362,Harry Andersson,Harry Arvid Verner Andersson Född: 20 mars 1912 Fotbollsspelare Position: försvarare Moderklubb: Sandvikens IF 5 säsonger. 28 matcher. 3 mål. 1932/33 – 0 1933/34 16 1 1934/35 11 2 1935/36 – 0 1936/37 1 0 Handbollsspelare 1937 1938 1939 1940 1941
225596363,Ivar Andersson,Karl Ivar Andersson Född: 10 januari 1903 Fotbollsspelare Position: Moderklubb: 1 säsong. 17 matcher. 0 mål. 1927/28 17 0
225596364,"Jan (fotboll) Andersson, Jan (ishockey) Andersson, Johan Andersson",Jan Edgar Andersson Född: 7 maj 1965 Fotbollsspelare Position: försvarare Moderklubb: IFK Västerås 3 säsonger. 38 matcher. 4 mål. 1990 12 0 1991 15 3 1992 11 1
225596365,Johan Andersson,Carl Johan Josef Andersson Född: 15 juni 1995 Fotbollsspelare Position: försvarare Nummer: 2 Moderklubb: Vaksala SK 2 säsonger. 2 matcher. 0 mål. 2018 1 0 2019 1 0
225596366,John Andersson,"John Harry Alexander Andersson Född: 2 mars 1909 Boxare Europamästare 1933 SM-guld 1929, 1931"
