#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	matched_by_username	auxiliary_data	born	died	dates_in_wikidata	lat	lon	multi_match_candidates
281287956	7738	188	https://www.aikstats.se/player.php?id=188	Pascal "Pagge" Simpson	Swedish association football player, played for AIK, Forward, active 1991-1998	Q5	4	Q1383089	20260327210211	Auxiliary data matcher							
281287957	7738	424	https://www.aikstats.se/player.php?id=424	Arne "Lunkan" Lundqvist	Swedish association football player, played for AIK, Målvakt, active 1955-1970	Q5											
281287958	7738	1	https://www.aikstats.se/player.php?id=1	Daniel Örlund	Swedish association football player, played for AIK, Målvakt, active 2002-2010	Q5	4	Q182466	20260327210211	Auxiliary data matcher							
281287959	7738	575	https://www.aikstats.se/player.php?id=575	Thomas Bergman	Swedish association football player, played for AIK, Mittfältare, active 1982-1988	Q5	4	Q78787302	20260327210211	Auxiliary data matcher							
281287960	7738	179	https://www.aikstats.se/player.php?id=179	Börje Leback	Swedish association football player, played for AIK, Mittfältare, active 1971-1978	Q5	4	Q5942518	20260327210211	Auxiliary data matcher							
281287961	7738	358	https://www.aikstats.se/player.php?id=358	Gösta "Pröjsarn" Nilsson	Swedish association football player, played for AIK, Forward, active 1945-1955	Q5	4	Q126483139	20260327210211	Auxiliary data matcher							
281287962	7738	276	https://www.aikstats.se/player.php?id=276	Valter "Valle" Sköld	Swedish association football player, played for AIK, Back, active 1933-1942	Q5	4	Q15965281	20260327210211	Auxiliary data matcher							
281287963	7738	1168	https://www.aikstats.se/player.php?id=1168	Ebenezer Ofori	Swedish association football player, played for AIK, Ytterback, active 2013-2022	Q5	4	Q15663340	20260327210211	Auxiliary data matcher							
281287964	7738	91	https://www.aikstats.se/player.php?id=91	Martin Kayongo-Mutumba	Swedish association football player, played for AIK, Mittfältare, active 1999-2013	Q5	355014	Q714662	20260327214116	Salgo60							
281287965	7738	592	https://www.aikstats.se/player.php?id=592	Kim Bergstrand	Swedish association football player, played for AIK, Forward, active 1983-1994	Q5	4	Q1741459	20260327210211	Auxiliary data matcher							
281287966	7738	326	https://www.aikstats.se/player.php?id=326	Harry Nilsson	Swedish association football player, played for AIK, Högerback, active 1942-1950	Q5	4	Q973638	20260327210211	Auxiliary data matcher							
281287967	7738	269	https://www.aikstats.se/player.php?id=269	Axel "Acke, Lill-Acke" Nilsson	Swedish association football player, played for AIK, Vänsterytter, active 1932-1941	Q5	4	Q6009719	20260327210212	Auxiliary data matcher							
281287968	7738	5	https://www.aikstats.se/player.php?id=5	Johan "Kungen" Mjällby	Swedish association football player, played for AIK, Mittfältare, active 1984-2006	Q5	4	Q349848	20260327210212	Auxiliary data matcher							
281287969	7738	637	https://www.aikstats.se/player.php?id=637	Michael Brundin	Swedish association football player, played for AIK, Innerback, active 1996-2000	Q5	4	Q1679885	20260327210212	Auxiliary data matcher							
281287970	7738	1207	https://www.aikstats.se/player.php?id=1207	Sebastian Larsson	Swedish association football player, played for AIK, Mittfältare, active 2018-2022	Q5	4	Q83638	20260327210212	Auxiliary data matcher							
281287971	7738	1077	https://www.aikstats.se/player.php?id=1077	Anton Salétros	Swedish association football player, played for AIK, Mittfältare, active 2009-2019	Q5	4	Q16029847	20260327210212	Auxiliary data matcher							
281287972	7738	205	https://www.aikstats.se/player.php?id=205	Nebojša "Nesjo, Nebo" Novaković	Swedish association football player, played for AIK, Forward, active 1998-2017	Q5	4	Q922597	20260327210212	Auxiliary data matcher							
281287973	7738	174	https://www.aikstats.se/player.php?id=174	Ronny Gustafsson	Swedish association football player, played for AIK, Målvakt, active 1959-1977	Q5	355014	Q1409776	20260327214138	Salgo60							
281287974	7738	441	https://www.aikstats.se/player.php?id=441	Jim "Jimpa" Nildén	Swedish association football player, played for AIK, Mittfältare, active 1953-1975	Q5	4	Q1689176	20260327210212	Auxiliary data matcher							
281287975	7738	1218	https://www.aikstats.se/player.php?id=1218	Bilal Hussein	Swedish association football player, played for AIK, Mittfältare, active 2014-2018	Q5	4	Q52816724	20260327210212	Auxiliary data matcher							
281287976	7738	27	https://www.aikstats.se/player.php?id=27	Daniel "Hochen" Hoch	Swedish association football player, played for AIK, Forward, active 1997-2005	Q5	4	Q1161135	20260327210212	Auxiliary data matcher							
281287977	7738	15	https://www.aikstats.se/player.php?id=15	Jimmy Tamandi	Swedish association football player, played for AIK, Ytterback, active 2002-2007	Q5	4	Q1689448	20260327210212	Auxiliary data matcher							
281287978	7738	468	https://www.aikstats.se/player.php?id=468	Göran Åberg	Swedish association football player, played for AIK, Högerback, active 1960-1987	Q5	4	Q1559476	20260327210212	Auxiliary data matcher							
281287979	7738	406	https://www.aikstats.se/player.php?id=406	Björn Anlert	Swedish association football player, played for AIK, Högerhalv, active 1947-1966	Q5	4	Q879538	20260327210212	Auxiliary data matcher							
281287980	7738	558	https://www.aikstats.se/player.php?id=558	Göran "Riala" Karlsson	Swedish association football player, played for AIK, Innerback, active 1978-1984	Q5											
281287981	7738	189	https://www.aikstats.se/player.php?id=189	Dick Lidman	Swedish association football player, played for AIK, Forward, active 1992-1997	Q5	4	Q135555	20260327210212	Auxiliary data matcher							
281287982	7738	611	https://www.aikstats.se/player.php?id=611	Magnus Hedman	Swedish association football player, played for AIK, Målvakt, active 1987-1997	Q5	4	Q342214	20260327210212	Auxiliary data matcher							
281287983	7738	82	https://www.aikstats.se/player.php?id=82	Karl "Kalle Kula" Corneliusson	Swedish association football player, played for AIK, Högerback, active 1999-2003	Q5	4	Q1730675	20260327210212	Auxiliary data matcher							
281287984	7738	193	https://www.aikstats.se/player.php?id=193	Ola Andersson	Swedish association football player, played for AIK, Mittfältare, active 1995-2008	Q5	4	Q1769419	20260327210212	Auxiliary data matcher							
281287985	7738	440	https://www.aikstats.se/player.php?id=440	Lennart Hemming	Swedish association football player, played for AIK, , active ? - ?	Q5	4	Q103832151	20260327210212	Auxiliary data matcher							
281287986	7738	808	https://www.aikstats.se/player.php?id=808	Niklas Backman	Swedish association football player, played for AIK, Mittback, active 2009-2014	Q5	4	Q777592	20260327210212	Auxiliary data matcher							
281287987	7738	218	https://www.aikstats.se/player.php?id=218	Sven "Linkan" Lindqvist	Swedish association football player, played for AIK, Högerhalv, active 1920-1931	Q5	4	Q3434101	20260327210212	Auxiliary data matcher							
281287988	7738	221	https://www.aikstats.se/player.php?id=221	Ernst "Sudden, Ärtan" Wahlberg	Swedish association football player, played for AIK, Vänsterinner, active 1923-1934	Q5	4	Q1360484	20260327210212	Auxiliary data matcher							
281287989	7738	242	https://www.aikstats.se/player.php?id=242	John "Jompa" Nilsson	Swedish association football player, played for AIK, Högerytter, active 1925-1936	Q5	4	Q1145971	20260327210212	Auxiliary data matcher							
281287990	7738	405	https://www.aikstats.se/player.php?id=405	Bengt Anlert	Swedish association football player, played for AIK, Vänsterhalv, active 1947-1961	Q5	4	Q817203	20260327210212	Auxiliary data matcher							
281287991	7738	617	https://www.aikstats.se/player.php?id=617	Mattias "Musse" Johansson	Swedish association football player, played for AIK, Mittfältare, active 1993-1997	Q5	4	Q5887131	20260327210212	Auxiliary data matcher							
281287992	7738	64	https://www.aikstats.se/player.php?id=64	Martin Åslund	Swedish association football player, played for AIK, Mittfältare, active 1981-2005	Q5	4	Q1570520	20260327210212	Auxiliary data matcher							
281287993	7738	30	https://www.aikstats.se/player.php?id=30	Dulee Johnson	Swedish association football player, played for AIK, Defensiv mittfältare, active 2006-2011	Q5	4	Q972133	20260327210212	Auxiliary data matcher							
281287994	7738	565	https://www.aikstats.se/player.php?id=565	Jyrki Nieminen	Swedish association football player, played for AIK, Forward, active 1979-1984	Q5	4	Q363797	20260327210212	Auxiliary data matcher							
281287995	7738	777	https://www.aikstats.se/player.php?id=777	Viktor Lundberg	Swedish association football player, played for AIK, , active 2009-2013	Q5	4	Q93744	20260327210212	Auxiliary data matcher							
